date,ticker,close
2022-01-03,SPY,453.21038818359375
2022-01-04,SPY,453.05859375
2022-01-05,SPY,444.35894775390625
2022-01-06,SPY,443.9414367675781
2022-01-07,SPY,442.1863708496094
2022-01-10,SPY,441.6361083984375
2022-01-11,SPY,445.65869140625
2022-01-12,SPY,446.8634948730469
2022-01-13,SPY,440.7063903808594
2022-01-14,SPY,440.8865661621094
2022-01-17,SPY,440.8865661621094
2022-01-18,SPY,433.07867431640625
2022-01-19,SPY,428.581787109375
2022-01-20,SPY,423.8381652832031
2022-01-21,SPY,415.5179443359375
2022-01-24,SPY,417.2825927734375
2022-01-25,SPY,412.18798828125
2022-01-26,SPY,411.15386962890625
2022-01-27,SPY,409.1236267089844
2022-01-28,SPY,419.2844543457031
2022-01-31,SPY,426.8361511230469
2022-02-01,SPY,429.7202453613281
2022-02-02,SPY,433.8945617675781
2022-02-03,SPY,423.6959228515625
2022-02-04,SPY,425.688232421875
2022-02-07,SPY,424.322021484375
2022-02-08,SPY,427.8133239746094
2022-02-09,SPY,434.0748291015625
2022-02-10,SPY,426.27642822265625
2022-02-11,SPY,417.87078857421875
2022-02-14,SPY,416.5046081542969
2022-02-15,SPY,423.2215881347656
2022-02-16,SPY,423.6959228515625
2022-02-17,SPY,414.64520263671875
2022-02-18,SPY,411.96026611328125
2022-02-21,SPY,411.96026611328125
2022-02-22,SPY,407.5392761230469
2022-02-23,SPY,400.31011962890625
2022-02-24,SPY,406.3343811035156
2022-02-25,SPY,415.2998046875
2022-02-28,SPY,414.2371826171875
2022-03-01,SPY,407.9282531738281
2022-03-02,SPY,415.4326477050781
2022-03-03,SPY,413.3643798828125
2022-03-04,SPY,410.0059509277344
2022-03-07,SPY,397.9193115234375
2022-03-08,SPY,394.90240478515625
2022-03-09,SPY,405.4900817871094
2022-03-10,SPY,403.6590270996094
2022-03-11,SPY,398.5264892578125
2022-03-14,SPY,395.6139221191406
2022-03-15,SPY,404.3137512207031
2022-03-16,SPY,413.27899169921875
2022-03-17,SPY,418.44952392578125
2022-03-18,SPY,423.0326843261719
2022-03-21,SPY,422.90899658203125
2022-03-22,SPY,427.8576354980469
2022-03-23,SPY,422.34747314453125
2022-03-24,SPY,428.714111328125
2022-03-25,SPY,430.8077697753906
2022-03-28,SPY,433.8721618652344
2022-03-29,SPY,439.239501953125
2022-03-30,SPY,436.52728271484375
2022-03-31,SPY,429.80859375
2022-04-01,SPY,431.02667236328125
2022-04-04,SPY,434.7190856933594
2022-04-05,SPY,429.2280578613281
2022-04-06,SPY,424.9360046386719
2022-04-07,SPY,427.0772705078125
2022-04-08,SPY,425.9352722167969
2022-04-11,SPY,418.6550598144531
2022-04-12,SPY,417.1038513183594
2022-04-13,SPY,421.8811950683594
2022-04-14,SPY,416.6280517578125
2022-04-15,SPY,416.6280517578125
2022-04-18,SPY,416.7993469238281
2022-04-19,SPY,423.52764892578125
2022-04-20,SPY,423.21356201171875
2022-04-21,SPY,416.88494873046875
2022-04-22,SPY,405.4460144042969
2022-04-25,SPY,407.79656982421875
2022-04-26,SPY,395.9864807128906
2022-04-27,SPY,397.09991455078125
2022-04-28,SPY,407.13043212890625
2022-04-29,SPY,392.0846252441406
2022-05-02,SPY,394.44482421875
2022-05-03,SPY,396.2529296875
2022-05-04,SPY,408.3199768066406
2022-05-05,SPY,393.8070983886719
2022-05-06,SPY,391.4565734863281
2022-05-09,SPY,378.9231872558594
2022-05-10,SPY,379.7986755371094
2022-05-11,SPY,373.7651672363281
2022-05-12,SPY,373.3750305175781
2022-05-13,SPY,382.30157470703125
2022-05-16,SPY,380.7503662109375
2022-05-17,SPY,388.58251953125
2022-05-18,SPY,372.9181823730469
2022-05-19,SPY,370.6341247558594
2022-05-20,SPY,370.7959899902344
2022-05-23,SPY,377.73370361328125
2022-05-24,SPY,374.8500671386719
2022-05-25,SPY,378.1618347167969
2022-05-26,SPY,385.7179870605469
2022-05-27,SPY,395.18707275390625
2022-05-30,SPY,395.18707275390625
2022-05-31,SPY,392.9697570800781
2022-06-01,SPY,389.7911376953125
2022-06-02,SPY,397.2141418457031
2022-06-03,SPY,390.6952209472656
2022-06-06,SPY,391.88482666015625
2022-06-07,SPY,395.64385986328125
2022-06-08,SPY,391.34234619140625
2022-06-09,SPY,382.0351867675781
2022-06-10,SPY,370.9577331542969
2022-06-13,SPY,356.8731994628906
2022-06-14,SPY,355.7978210449219
2022-06-15,SPY,360.8701171875
2022-06-16,SPY,348.92681884765625
2022-06-17,SPY,349.6789855957031
2022-06-20,SPY,349.6789855957031
2022-06-21,SPY,358.4815979003906
2022-06-22,SPY,357.83172607421875
2022-06-23,SPY,361.3394470214844
2022-06-24,SPY,372.8277893066406
2022-06-27,SPY,371.40374755859375
2022-06-28,SPY,363.8148498535156
2022-06-29,SPY,363.5185241699219
2022-06-30,SPY,360.56524658203125
2022-07-01,SPY,364.37884521484375
2022-07-04,SPY,364.37884521484375
2022-07-05,SPY,365.06695556640625
2022-07-06,SPY,366.2998962402344
2022-07-07,SPY,371.7859802246094
2022-07-08,SPY,371.480224609375
2022-07-11,SPY,367.2365417480469
2022-07-12,SPY,363.9868469238281
2022-07-13,SPY,362.0754089355469
2022-07-14,SPY,361.1961364746094
2022-07-15,SPY,368.0967102050781
2022-07-18,SPY,365.057373046875
2022-07-19,SPY,374.9209289550781
2022-07-20,SPY,377.3103332519531
2022-07-21,SPY,381.152587890625
2022-07-22,SPY,377.6162109375
2022-07-25,SPY,378.07501220703125
2022-07-26,SPY,373.60198974609375
2022-07-27,SPY,383.3031311035156
2022-07-28,SPY,388.1106262207031
2022-07-29,SPY,393.76873779296875
2022-08-01,SPY,392.602783203125
2022-08-02,SPY,390.0126037597656
2022-08-03,SPY,396.1199951171875
